	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0918307	0.0210443	0.0126399	0.00298707	0.00176255	0.00100499	0.00046931	0.000334252	0.000115481	9.7467e-05	7.72329e-05	1.28808e-05	2.13454e-06	0.000505545	1.76117e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0799046	0.00169543	0.000627768	0.00200319	0.00039788	0.000156974	0.000832935	0.000142383	0.000378457	5.28109e-05	3.8673e-05	3.6596e-05	1.70324e-05	6.40362e-06	8.89658e-06	2.84605e-06	0	7.11514e-07	9.24968e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0355319	0.000760975	0.00865233	0.00046696	0.00024169	0.00717199	0.000203598	0.00172357	0.000143721	4.16781e-05	6.46408e-05	0.000481999	2.36923e-05	4.26908e-06	1.3163e-05	1.00797e-05	2.87154e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0111637	0.000580976	0.00654045	0.00629774	0.000666397	0.000421457	0.000131532	0.00010202	0.000158094	8.47038e-05	2.91503e-05	4.32268e-05	0	3.71327e-05	0	5.69211e-06	2.4903e-06	0	1.77878e-06	0.00124293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00859146	0.00188066	0.00173918	0.000722172	0.000855361	0.00567413	0.000164877	0.00495724	0.000175324	8.3362e-05	9.82904e-05	2.4471e-05	6.58102e-05	0.00126803	3.97171e-05	2.03157e-05	0	0	1.06727e-06	0	0	0	0	0	0	0	3.20896e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00306249	0.00078555	0.000252112	0.000165597	0.000275902	0.000391144	7.24208e-05	8.88786e-05	7.09512e-05	4.9528e-05	3.53314e-05	0.000754037	1.95901e-05	0.00629103	4.83125e-05	0.000802892	0	7.11514e-07	1.06727e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00218928	0.000280019	0.000163986	0.000214859	0.000113475	9.27391e-05	6.2969e-05	0.00129411	0.000908242	0.00128611	2.32411e-05	0	1.82621e-05	2.13454e-06	8.96881e-05	0	0	0	6.14445e-06	0.00599072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00472661	0.00103603	0.00146631	0.000145683	0.00653878	0.00159778	0.000129558	3.29743e-05	4.69702e-05	0.0062394	3.52168e-05	0.000854291	2.54741e-05	1.74273e-05	2.03252e-05	0	0.000444663	1.06727e-06	7.11514e-07	5.85155e-06	0	0	5.58273e-06	0	0	0	4.02227e-06	0	0	0	0	1.99966e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.000818703	0.000960894	0.000132094	0.00012442	8.33193e-05	0.000114087	0.00934831	5.45005e-05	9.64104e-05	0.00123839	9.91925e-06	3.40011e-05	4.3311e-05	3.20181e-06	5.69211e-06	6.09865e-06	4.71199e-05	0	2.13454e-06	1.11989e-05	0.000242351	4.64186e-05	0	2.96072e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000583651	6.68165e-05	0.00106147	0.00694522	8.51758e-05	0.0128551	9.44369e-05	8.17531e-05	0.000481963	0.00647759	3.86913e-05	1.20957e-05	5.19855e-05	0	1.34482e-05	0	1.062e-05	0	1.42303e-06	0.00163438	0	1.6332e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_10	0.00361017	0.00146602	0.00131674	8.33858e-05	0.000113344	0.00567314	0.0124586	0.00601136	0.00828403	0.000853915	0.000933076	6.81024e-05	4.03195e-05	1.18466e-05	0.00149136	1.09322e-05	7.94956e-06	9.69358e-06	2.17039e-05	0	0.00144278	0	2.38794e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_11	0.000844786	8.96638e-05	0.000911449	0.000111121	0.000787995	0.000118474	2.63103e-05	0.00600594	0.00127092	6.11417e-05	4.62579e-05	7.40769e-05	0.000469501	2.34817e-05	5.84896e-05	2.2296e-05	0.000677334	0	1.66244e-05	0	1.01889e-05	1.65298e-05	0.000452134	0	0	0	0	0	0	0	3.28328e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_12	0.000176647	6.71692e-05	0.000454809	7.61039e-05	0.000720785	4.29488e-05	7.68904e-05	0.000267797	0.00395672	0.0079725	0.00317726	1.49418e-05	0.00640645	1.45602e-05	4.15005e-05	4.23688e-06	0.000845417	2.08506e-05	3.40706e-06	2.14803e-05	0	0	0	0	0	0	0	0	1.63377e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_13	0.000110426	0.0015173	0.00081992	0.000542817	4.05563e-05	0.00256038	0.000474265	4.06821e-05	5.183e-05	0.000681137	3.55757e-06	0.000114607	0.000807183	3.44593e-05	3.19181e-05	4.16166e-05	1.07797e-05	1.63263e-05	0.000573664	0.00082658	4.49127e-05	7.50043e-06	0	3.97125e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_14	4.34023e-05	7.47089e-06	0.00153342	2.45867e-05	9.96119e-06	3.20506e-05	5.0169e-05	2.13454e-05	0.00608699	3.36354e-05	1.94101e-05	1.56908e-05	1.77878e-06	0.000433242	1.98609e-05	3.86002e-06	0.00641322	0.0144956	0	0.00124664	3.20486e-06	0	2.11113e-05	0	0	0	0	0	0	1.06727e-06	0	0	2.0318e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_15	0.002001	4.06324e-05	2.84406e-05	1.99224e-05	1.56533e-05	4.9806e-06	6.61509e-05	1.98311e-05	1.61361e-05	1.63111e-05	2.51777e-05	8.41305e-05	3.53253e-05	2.868e-05	1.02581e-05	0	2.70108e-05	0.000452571	7.11514e-06	3.62443e-05	2.82006e-05	0	3.63567e-05	1.56647e-05	0	7.15204e-06	0	0	0	0	5.63035e-06	0	0	0	4.22557e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_16	2.97791e-05	9.25078e-06	0.000291265	4.10345e-05	1.40525e-05	2.43076e-05	0.000855258	0.00562449	9.95206e-06	0.00627098	0.00640712	1.92751e-05	2.88303e-05	2.84605e-06	3.52187e-05	0.00109171	0.00601971	5.02226e-06	3.66184e-05	2.17633e-06	1.53642e-05	0	1.31254e-05	7.76002e-06	0	8.6365e-06	0	0	0	0	0	2.87508e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_17	2.09897e-05	7.11514e-07	1.174e-05	2.13454e-06	8.89392e-06	3.55757e-06	0.00123145	9.60544e-06	1.20957e-05	0.00638892	0.000874643	3.39586e-05	1.76276e-05	0.00705866	0	0	0	0	2.70944e-05	2.63491e-05	0	0.000398005	0	0.000422549	0	5.63036e-06	0.000259151	0	0	1.12799e-05	0	0.00119366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_18	2.1632e-05	7.11514e-06	2.13454e-06	1.40525e-05	3.91333e-06	1.2651e-05	6.24732e-05	2.59703e-05	2.89194e-05	2.32103e-05	0.0007146	6.58441e-05	3.15228e-05	1.82673e-05	0	2.019e-06	2.97641e-05	1.38345e-05	7.11514e-07	0	2.74874e-05	0	0	0	0	3.18819e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_19	3.20181e-06	8.04004e-05	7.82665e-06	0.000323241	3.55757e-06	0.00127284	0	1.74142e-05	5.86167e-05	0.00148102	0	6.11617e-05	0	0.00559166	0.000441615	0.000259699	5.29727e-05	0.00601593	0	0.000795777	0	0	4.43906e-06	0	7.11514e-07	0	0.00145385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_20	3.20181e-06	0	1.82143e-05	2.84605e-06	2.23467e-05	1.4415e-05	2.80332e-05	2.7888e-06	4.31685e-06	2.83778e-05	3.83332e-07	0	9.59296e-06	0.00770165	1.36254e-05	0.000287642	7.11514e-07	0	2.41642e-05	0.00120302	4.69991e-06	1.91966e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_21	1.25922e-05	0	0	3.65304e-06	0	9.66668e-06	5.32579e-05	5.76381e-05	0	0.000241935	1.08546e-05	1.26722e-06	0.000440118	0.000456231	2.65395e-06	0.000282366	2.29764e-06	1.42861e-05	4.57655e-05	1.24862e-05	0.00123754	0	1.81839e-05	0.000846344	0	3.68196e-05	0.00145241	0	0.00083971	0	0	0	0	0	0	3.20477e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_22	0	2.84605e-06	0	0	1.27776e-05	4.55987e-06	3.90633e-06	7.2842e-07	0	0.000201944	0.000441608	3.91333e-06	2.75111e-05	4.28853e-05	3.79272e-05	9.70114e-06	0.0062613	0.00627622	6.14765e-06	0	0	8.2582e-06	0	0	0	0	1.20937e-05	0	2.16486e-05	0	0	0	0	0	0	1.07031e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
