	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.138936	0.0319742	0.0153897	0.0102091	0.0114757	0.00343759	0.00660112	0.0020365	0.00658811	0.0073611	0.00296433	0.00136275	0.0106299	0.000343879	0.00344819	0.0016533	0.00544854	0.00216196	0.00114295	0.00277906	0.00139389	0.00252207	0.00551585	0.000139751	0.000104713	0.00138381	8.22751e-05	5.55007e-05	5.74878e-05	0.00105467	3.24073e-05	8.22899e-06	0.00582059	0.0050762	2.79233e-05	0.000367334	0.000163813	0	2.93892e-05	0.00168304	1.14383e-05	1.71006e-05	2.45983e-05	0.000957555	0	0.000213312	9.78313e-06	0	0.00127931	0	3.76169e-06	0.00117908	8.07624e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.0800577	4.53211e-05	0.000547162	2.86283e-05	0.0059863	7.33421e-05	2.10489e-05	1.39563e-05	0.000669154	3.0052e-05	1.08395e-05	0.000267043	0.00134304	0.000659762	3.58573e-07	0.00511316	1.74742e-05	5.59371e-06	0.000325362	7.40284e-06	2.26606e-05	0	1.16461e-05	9.73692e-06	0	0	0.004461	2.55205e-06	0.000747403	0	0	2.53262e-06	0	2.70489e-05	1.37073e-05	1.3835e-05	0	4.34599e-06	0	0	0	0	0	0	1.06682e-06	0	0	0.000659359	0	0	0	0	0	0	0	0	0	3.7804e-06	0	0	0	0	0.000511225	0	0	0	0	0	0	0	0	0	0	0	1.27815e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.0191414	1.7361e-05	0.000179809	0.000659012	1.87841e-05	1.75176e-05	7.03898e-06	4.40033e-05	0	1.47731e-05	2.09732e-06	1.8994e-06	0.000382327	0.00446457	1.15725e-06	0.00122017	7.88576e-07	2.72184e-05	1.51613e-05	7.88961e-06	8.94065e-06	6.18252e-06	0	0	0.000106488	1.1597e-05	0	0	0	0	0	0.000544188	0	3.0948e-07	0	0	1.61235e-05	0	1.99295e-06	0	0	0.000637285	1.34909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000955928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.00699091	0.00133978	6.2058e-05	0.00506707	3.50178e-05	1.83017e-05	0.00504188	1.41022e-05	2.94552e-06	1.49244e-05	0.00102423	8.13273e-06	5.28e-06	1.88538e-05	3.01466e-06	0.000345437	0.000181218	0.000986651	9.28081e-06	7.0028e-06	2.49743e-05	0.00446549	0	7.76048e-06	1.34611e-06	0.000353131	0	0	0.000977978	0	0.000344386	0.0003476	0	0.000959269	6.32047e-06	0.000127087	1.26908e-05	0.00477964	1.87729e-05	2.16869e-06	0	9.71373e-06	1.09548e-05	0.000637285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000640044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.0138836	5.7879e-06	0.000352479	3.59134e-05	9.60215e-06	4.07808e-06	1.66395e-05	0.000679972	1.69238e-05	0	9.7021e-06	3.46068e-06	2.12365e-06	9.68985e-06	0.000327414	0.00501095	1.08466e-06	0.000675369	0.000643973	1.28789e-05	3.0382e-05	5.03173e-06	0.000649193	2.63991e-06	2.31965e-05	0	0.000222112	0	4.84543e-06	3.30621e-05	0	0.0048318	0	0.00480408	3.47023e-05	3.36259e-06	0.000340312	0.000345453	1.19327e-05	0	1.7701e-05	0	0	0.000955928	0	0	3.06495e-06	0	0	0.000637285	0.00129724	0	0	1.12883e-05	0	0	0	0.000656676	0.000221914	0.000972687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.60476e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.00770272	0.000660516	2.28489e-05	1.66686e-05	9.18819e-06	8.02722e-06	6.50628e-06	2.2915e-05	3.76205e-05	2.36888e-05	2.50765e-06	0.000366831	6.04635e-06	9.58509e-06	5.87755e-06	8.14594e-06	1.21471e-05	9.5916e-06	8.98905e-06	3.163e-05	2.78351e-05	0.000641928	0.00479981	1.20972e-05	0	2.66506e-05	0	0.00096616	0	8.52897e-06	2.5762e-06	0	0	0	0	0	0.000973614	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004461	0	5.55816e-07	5.64846e-06	0	0	0	0	0	0	0.000318643	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000334438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_6	0.0029342	1.16904e-06	7.19955e-07	1.3404e-05	0.000356992	0.000638818	0.00118171	1.09617e-05	0.000243136	1.27415e-05	0	5.32491e-05	0	2.26962e-05	1.42621e-06	0	3.04525e-05	0.000962234	0	0.00103317	0	5.86579e-06	1.6113e-05	2.5228e-06	0	7.24982e-06	0	7.4718e-06	3.06876e-08	0	1.73106e-05	0	5.99443e-06	0	0	0	2.16617e-05	0	0	0	0.000637285	0	0	0	0	0	0.00497915	0	0	0	0.004461	0	0	0	0	0	0	0	0	0	0	0.000210421	0	0	0	1.37673e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.00123951	5.89707e-06	3.8381e-06	3.96468e-05	0.000370216	2.84607e-06	0	0.000355572	1.44054e-05	0.00448473	1.3492e-05	3.18941e-05	1.21954e-05	0	1.48416e-05	2.37576e-05	0.00498655	3.15842e-06	3.83251e-06	0.000203583	5.51981e-07	0.000661576	0.000483779	0.000981456	4.08983e-06	0.00130227	1.23051e-05	0	2.73936e-06	0	6.23641e-07	1.33313e-05	0	2.4104e-06	0	0.000971425	0.0056126	0	0.000330927	1.53688e-05	0	5.16485e-06	0	0	0	0.000665721	0.000321942	0	0	0	0	0	0	0	0	0	0	0	0	0	7.73271e-07	0	0.000335342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.00329184	2.20262e-05	3.90397e-05	0.000388674	0.000541915	2.10573e-06	2.60228e-05	0.000977543	3.32767e-05	8.26495e-06	5.90493e-06	4.2277e-06	3.64254e-06	0.00153346	3.83848e-06	0.000643618	9.46367e-08	0	0.000646816	0	0	4.57262e-07	0.000344525	0	0	0	0	2.96416e-06	2.10689e-05	0.004461	6.25293e-06	3.67171e-06	1.67988e-05	0	0	0	0	0	0	0	0.000322646	0	0	1.2848e-06	0	0	0	0	0	0	0	0	0	1.24439e-05	0	0	0	0.000325477	0	0.000515214	0	7.43629e-06	0	0	0	0	0	0	0	0	0	0	0	0	5.62988e-06	0.000637285	0	0	0	0	0	0	0	0	0	0.000968056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.000758334	0.00147023	1.52251e-05	5.16967e-05	0.000684483	0.000691827	3.59345e-05	2.71524e-06	0.00117615	4.11443e-07	0.000335214	1.64385e-05	4.91156e-07	1.31711e-05	0.000195092	2.21214e-06	3.12705e-06	0	0.00481246	3.67538e-06	0	4.08805e-06	1.84361e-06	6.61856e-06	0.00214214	0	0	0	0	1.35469e-06	0	0.00509828	0	0	0	0	1.68639e-05	0	0	0	0	0	0	1.16698e-06	0	0	0	0	0.000637285	0	2.89478e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000510294	0	0	0	0	0	0	1.31825e-06	0	0	0	0	0	0	0	0	0	2.45962e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
