	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d2_0	0	0.138575	0.0361102	0.0305383	0.00650927	0.0040724	0.0149932	0.00273704	0.00242427	0.00190117	0.0128795	0.00116239	0.0118272	0.00167929	0.0117252	0.0020199	0.00659687	0.00177152	0.00627548	0.00750038	0.00119357	0.00138766	0.00278904	0.000124605	0.00117344	0.000441764	0.00562506	0.00546388	8.24414e-05	0.000113509	0.00509841	0.000100747	9.376e-06	8.40892e-05	1.80621e-05	0.00105307	5.90701e-06	0.0012699	0.00506273	2.20325e-05	0	0.000674514	2.81777e-05	6.50086e-06	0.000354039	7.73342e-06	0	0.00121532	0	2.42136e-06	4.72041e-05	0.0012114	0	1.36399e-05	0	7.48272e-06	0	0.000668499	4.41549e-07	0	9.54413e-06	0	0	0	0	0	0	0	0	0	0	0.000668499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0526107	2.51779e-05	2.96139e-05	0	1.37552e-05	3.71628e-07	3.16991e-06	0	0.00105011	1.78103e-05	2.17127e-05	1.79271e-05	1.55511e-06	2.1901e-05	2.36506e-05	0.00405504	1.21252e-06	6.50317e-06	3.46734e-06	0.00123058	0	0	3.77669e-06	5.15736e-06	0	0	0	0	0	0	0	0	0	1.4138e-06	0.00121023	0	0	6.88218e-06	0	0	0	0	0	0	0	0	0	0	1.28691e-05	0	0	0	1.15177e-06	0	0	0	0	0	3.80616e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00069331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0217157	0.000790436	2.4899e-05	0.00558664	1.04764e-05	2.16414e-06	0.000717612	0.00136236	0.00468082	0.00039907	1.48474e-05	0.00113501	9.73995e-06	0.000214099	1.12813e-06	8.53679e-06	3.29252e-06	3.04277e-05	0	0.00571175	0.000671273	2.15575e-05	0	2.82692e-05	0.000668526	7.11395e-06	3.94021e-05	0	0.00402298	0	3.83535e-05	0	0	0	0	1.6281e-05	0	0	0	0	0	1.70784e-05	0	0	0	0.000236377	0	0	0	0	0	0	0	0.00468282	0	0	0	0	0.000354888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.011863	2.53679e-05	2.46953e-05	5.92515e-05	2.45847e-05	6.17537e-06	2.21471e-05	0.00470481	3.27762e-05	0.00540183	1.70383e-05	1.58933e-05	3.37941e-06	0	1.66713e-05	1.77871e-05	7.84702e-06	0	0.00470792	1.65242e-05	6.06479e-07	0.00122701	0.000690882	0	0	0.00123512	0	0.00503639	1.87329e-05	0	0	0.000668499	0	0	1.6922e-05	0	0	0	3.96517e-06	2.81425e-06	0	0	0.00121775	8.16218e-06	0	1.57028e-05	5.43094e-06	0	0	0	0	0.000687256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.58799e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00625439	2.34051e-05	3.43985e-05	3.17311e-05	0.000395934	0.00507608	2.60724e-05	6.51096e-06	0.000164483	1.57181e-05	0	5.19962e-06	3.29288e-05	0	0	2.57315e-06	7.23723e-06	2.54668e-05	5.83526e-06	0	7.08927e-06	4.71044e-06	9.01368e-07	3.40093e-06	3.17472e-06	4.83258e-07	0	1.49287e-05	0	0.00102845	0	0	2.56693e-06	1.14017e-05	1.77042e-05	0	0	0	0	0	5.40809e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00569917	1.54568e-05	1.80024e-05	4.49072e-05	4.6298e-06	0.000686927	0.000283581	1.35551e-05	0	0	0.000748329	2.29514e-05	0	3.93935e-06	0.00100763	3.65729e-06	1.55767e-05	1.48719e-05	2.90552e-06	0	0	0	0	0	0.000670941	0	0	0	0	2.71829e-06	0	0.000566598	3.04853e-06	7.27886e-06	6.11162e-07	0	1.08324e-07	0	0	0.000373113	0	0	0	0.00102283	0	0	0	0	4.24544e-06	0	0	0	0	0	0	0	0	0	0	0	3.61704e-06	0	1.31764e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00404519	6.22423e-06	2.56452e-05	1.41667e-05	1.13468e-06	0.00472974	2.3149e-05	0	4.80037e-06	3.36236e-06	1.318e-05	3.12263e-06	1.93827e-06	2.00645e-06	0.00122201	5.8014e-06	0.00103816	2.44844e-06	0	0	0.00404773	4.42665e-06	0	3.25052e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00224179	1.29856e-05	1.55149e-05	0.0010479	2.59682e-05	0.000671507	0.00125821	5.21935e-05	1.45839e-05	2.60709e-05	8.18786e-06	0.000707341	0	4.02941e-06	0.000550519	0.000354817	0.000556272	1.33637e-05	0	0	0	0	4.95569e-06	7.91453e-07	0	0.00036333	0	0	0	0	0	0.00101297	0.000716295	0.000228385	0.00467949	0	4.37438e-05	0.00020055	0	0	0	0.00501374	4.79051e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00502856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.0024383	1.0891e-05	2.53417e-05	3.03045e-05	1.98024e-05	1.78571e-05	8.94715e-06	5.2294e-05	0.000592205	5.42065e-05	1.44023e-05	5.51837e-06	8.46491e-06	0	0	2.64144e-05	1.77037e-05	0.00505324	1.80136e-05	1.29155e-05	0	4.69016e-06	1.53898e-05	0	2.67641e-06	0	6.3037e-06	0	1.77762e-05	0	0	0	0	1.27403e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07079e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.58824e-06	0	6.73702e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.0018968	3.71998e-06	1.17473e-05	0.0040369	3.91703e-05	1.55219e-05	3.40853e-06	2.46411e-06	1.03251e-05	2.07547e-05	4.06579e-06	0.000411696	1.4795e-05	0.00558049	0	1.26908e-05	0	0.000234982	0	0.000668499	3.06038e-05	4.63163e-06	2.34351e-05	2.7441e-05	0	0	2.23364e-06	8.53712e-06	2.26887e-06	0	7.23475e-06	0	0	0	0	0	0	0	6.46018e-07	0	0	0	0	0	0	0	0	0	0	0	1.03648e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
