	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0881845	0.0239531	0.0154675	0.00394995	0.00944323	0.00226372	0.000645123	0.00111374	0.000122986	0.00728505	9.02779e-05	3.18719e-05	1.7137e-05	7.9738e-06	4.16918e-05	4.34935e-06	1.78882e-05	4.71179e-06	0	0	0	0	7.24891e-07	2.17467e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0704843	0.000823097	0.00064182	0.00251484	0.00634671	0.000196628	0.000141722	0.00015532	6.52402e-06	7.32599e-05	2.65192e-05	1.48603e-05	1.5787e-05	7.84818e-06	0	2.17467e-06	3.12015e-06	8.50327e-06	1.81223e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.030747	0.00637629	0.000589287	0.00104231	0.00660151	0.00185496	0.000198948	8.43945e-05	0.00580451	8.46804e-05	0.00128337	0.00151255	2.89956e-06	2.98287e-05	0	1.05072e-05	1.53265e-05	2.17467e-06	2.51973e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0182974	0.00118272	0.000355364	0.000294036	0.00147224	0.000179766	0.00094286	0.000177989	0.0001496	0.00570349	0.0118199	0.000865874	7.1668e-05	2.63687e-05	2.63598e-05	1.44978e-06	2.53712e-06	2.17467e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.014513	0.000400179	0.000338033	0.000277654	0.00253707	0.00010587	8.8213e-05	6.22572e-05	0.000968153	4.15852e-05	1.90031e-05	3.22384e-05	1.78287e-05	1.73974e-05	3.15187e-05	0.00127122	4.71179e-06	4.34935e-06	2.17467e-06	3.9869e-06	0	0	1.13759e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00526161	0.000266968	0.000283384	0.000237285	0.00209864	0.000164754	0.00014774	6.66297e-05	0.000168866	0.000109722	0.000907848	1.88333e-05	2.2528e-05	4.71179e-06	7.71153e-06	0	4.34935e-06	2.2025e-05	3.15132e-05	1.35725e-05	1.08137e-06	0	0	0	0	0	2.27117e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00380957	0.000357483	0.000257136	0.00130337	0.000120048	0.000368418	0.000577702	4.91772e-05	3.49708e-05	0.00113116	2.14708e-05	2.41232e-05	2.96723e-05	1.75079e-05	0.00153062	2.66762e-05	1.36179e-05	0	0	1.30586e-05	0	0	0	3.19976e-06	0	0	0	0	0	6.72781e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00781073	0.000279364	0.00140752	0.000165426	0.00148082	4.37307e-05	0.00131857	0.000113885	3.00904e-05	6.72454e-05	0.000291878	0.00696016	9.41946e-05	1.92096e-05	0.00070958	2.17467e-06	1.19499e-05	7.46398e-06	0	2.89956e-06	0	4.09501e-06	3.9869e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.000850026	0.000186084	8.52116e-05	0.000101119	0.000558188	0.000451668	6.63897e-05	5.10802e-05	0.00613181	4.15364e-05	0.000843821	9.06114e-06	0.000712396	5.83026e-06	2.06751e-05	6.55928e-05	3.62446e-06	0	2.58536e-05	0	2.81473e-06	0	0	0	5.52108e-06	3.40756e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000531785	0.000113144	0.000275798	0.000183371	8.39521e-05	0.000861293	0.00038814	0.00617334	0.000604132	8.93063e-05	1.19607e-05	0.000664888	1.44198e-05	6.49143e-06	0.000854909	0.00159584	3.00055e-05	2.47183e-06	7.76787e-05	0	7.18101e-06	0	0	0	0	0	0	0	0	0	0	0	0.000817537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
